SYMBOL,PROBEID,selected_splits,denominator,frequency,analysis_key
ACOT13,204565_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOT4,229534_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOT6,241949_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOT7,208002_s_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOT8,204212_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOT9,221641_s_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOX1,227962_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOX2,205364_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOX3,204242_s_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACOXL,240189_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACP1,215227_x_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACP2,202767_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACP3,237030_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACP4,241715_x_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACP5,204638_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ACP6,218795_at,50,50,1,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
