gene,selected_folds,frequency,positive_folds,negative_folds,zero_folds,modal_sign,sign_consistency,coefficient_mean,coefficient_sd,coefficient_median,coefficient_min,coefficient_max,analysis_key
NOX1,1,0.02,0,1,0,negative,1,-0.149992621972339,,-0.149992621972339,-0.149992621972339,-0.149992621972339,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
NSMCE4A,1,0.02,0,1,0,negative,1,-0.0965230618047955,,-0.0965230618047955,-0.0965230618047955,-0.0965230618047955,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
OCLN,1,0.02,0,1,0,negative,1,-0.179556459048882,,-0.179556459048882,-0.179556459048882,-0.179556459048882,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PLEC,1,0.02,1,0,0,positive,1,0.23016366917005,,0.23016366917005,0.23016366917005,0.23016366917005,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PRICKLE1,1,0.02,0,1,0,negative,1,-0.384210358479443,,-0.384210358479443,-0.384210358479443,-0.384210358479443,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PRR15L,1,0.02,0,1,0,negative,1,-0.0887671091616391,,-0.0887671091616391,-0.0887671091616391,-0.0887671091616391,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PSME2,1,0.02,0,1,0,negative,1,-0.312377929414602,,-0.312377929414602,-0.312377929414602,-0.312377929414602,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
RAB11FIP1,1,0.02,0,1,0,negative,1,-0.138182299055797,,-0.138182299055797,-0.138182299055797,-0.138182299055797,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
RAB15,1,0.02,0,1,0,negative,1,-0.0530735751547977,,-0.0530735751547977,-0.0530735751547977,-0.0530735751547977,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
RHPN2,1,0.02,0,1,0,negative,1,-0.0702988282491225,,-0.0702988282491225,-0.0702988282491225,-0.0702988282491225,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
RIMS2,1,0.02,1,0,0,positive,1,0.166281798807351,,0.166281798807351,0.166281798807351,0.166281798807351,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SLC12A2,1,0.02,0,1,0,negative,1,-0.166615569574997,,-0.166615569574997,-0.166615569574997,-0.166615569574997,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SMAGP,1,0.02,1,0,0,positive,1,0.36509575588055,,0.36509575588055,0.36509575588055,0.36509575588055,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SUOX,1,0.02,0,1,0,negative,1,-0.238470817064616,,-0.238470817064616,-0.238470817064616,-0.238470817064616,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SUSD4,1,0.02,1,0,0,positive,1,0.185429486143406,,0.185429486143406,0.185429486143406,0.185429486143406,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
SYN2,1,0.02,1,0,0,positive,1,0.20113596405793,,0.20113596405793,0.20113596405793,0.20113596405793,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
TXN2,1,0.02,0,1,0,negative,1,-0.24850708843492,,-0.24850708843492,-0.24850708843492,-0.24850708843492,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ZSCAN5A,1,0.02,0,1,0,negative,1,-0.190722576125305,,-0.190722576125305,-0.190722576125305,-0.190722576125305,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
